trade_date,ts_code,OPEN,CLOSE,VOLUME
2015-07-14,000300.SH,4178.63,4112.15,454422000.0
2015-07-15,000300.SH,4068.88,3966.76,421956000.0
2015-07-16,000300.SH,3949.64,3997.36,330531000.0
2015-07-17,000300.SH,4023.76,4151.5,331107000.0
2015-07-20,000300.SH,4157.06,4160.61,352673000.0
2015-07-21,000300.SH,4109.76,4166.01,318375000.0
2015-07-22,000300.SH,4148.56,4157.16,318946000.0
2015-07-23,000300.SH,4158.93,4250.81,354472000.0
2015-07-24,000300.SH,4255.2,4176.28,392045000.0
2015-07-27,000300.SH,4097.8,3818.73,365054000.0
2015-07-28,000300.SH,3690.97,3811.09,383527000.0
2015-07-29,000300.SH,3839.96,3930.38,276973000.0
2015-07-30,000300.SH,3915.78,3815.41,271549000.0
2015-07-31,000300.SH,3777.15,3816.7,222377000.0
2015-08-03,000300.SH,3766.07,3829.24,245805000.0
2015-08-04,000300.SH,3827.37,3948.16,220237000.0
2015-08-05,000300.SH,3937.62,3866.9,200484000.0
2015-08-06,000300.SH,3802.93,3831.85,147279000.0
2015-08-07,000300.SH,3866.43,3906.94,183349000.0
2015-08-10,000300.SH,3947.47,4084.36,306781000.0
2015-08-11,000300.SH,4083.59,4066.67,322034000.0
2015-08-12,000300.SH,4025.67,4016.13,255146000.0
2015-08-13,000300.SH,4010.01,4075.46,242837000.0
2015-08-14,000300.SH,4097.92,4073.54,253393000.0
2015-08-17,000300.SH,4058.11,4077.87,256940000.0
2015-08-18,000300.SH,4084.31,3825.41,319881000.0
2015-08-19,000300.SH,3748.27,3886.14,269050000.0
2015-08-20,000300.SH,3848.4,3761.45,212168000.0
2015-08-21,000300.SH,3714.29,3589.54,217986000.0
2015-08-24,000300.SH,3454.6,3275.53,255437000.0
2015-08-25,000300.SH,3070.01,3042.93,276081000.0
2015-08-26,000300.SH,3062.57,3025.69,308271000.0
2015-08-27,000300.SH,3092.81,3205.64,267295000.0
2015-08-28,000300.SH,3246.24,3342.29,299498000.0
2015-08-31,000300.SH,3307.4,3366.54,280250000.0
2015-09-01,000300.SH,3296.53,3362.08,352459000.0
2015-09-02,000300.SH,3220.85,3365.83,347789000.0
2015-09-07,000300.SH,3347.29,3250.49,204224000.0
2015-09-08,000300.SH,3221.79,3334.02,154600000.0
2015-09-09,000300.SH,3344.82,3399.31,220467000.0
2015-09-10,000300.SH,3349.28,3357.56,144883000.0
2015-09-11,000300.SH,3349.88,3347.19,108548000.0
2015-09-14,000300.SH,3367.64,3281.13,205457000.0
2015-09-15,000300.SH,3208.74,3152.23,143556000.0
2015-09-16,000300.SH,3149.16,3309.25,159710000.0
2015-09-17,000300.SH,3287.66,3237.0,169402000.0
2015-09-18,000300.SH,3254.44,3251.27,106903000.0
2015-09-21,000300.SH,3222.6,3308.25,122789000.0
2015-09-22,000300.SH,3312.37,3339.03,146222000.0
2015-09-23,000300.SH,3290.07,3263.03,123171000.0
2015-09-24,000300.SH,3278.9,3285.0,102011000.0
2015-09-25,000300.SH,3272.67,3231.95,121419000.0
2015-09-28,000300.SH,3226.61,3242.75,74219500.0
2015-09-29,000300.SH,3197.22,3178.85,87150600.0
2015-09-30,000300.SH,3195.9,3202.95,78559400.0
2015-10-08,000300.SH,3324.98,3296.48,132082000.0
2015-10-09,000300.SH,3302.36,3340.12,124352000.0
2015-10-12,000300.SH,3351.14,3447.69,221400000.0
2015-10-13,000300.SH,3422.48,3445.04,145434000.0
2015-10-14,000300.SH,3431.14,3406.11,152174000.0
2015-10-15,000300.SH,3403.39,3486.81,171158000.0
2015-10-16,000300.SH,3508.52,3534.07,208965000.0
2015-10-19,000300.SH,3548.95,3534.18,207607000.0
2015-10-20,000300.SH,3527.88,3577.7,179025000.0
2015-10-21,000300.SH,3580.84,3473.25,282076000.0
2015-10-22,000300.SH,3453.2,3524.53,184306000.0
2015-10-23,000300.SH,3536.84,3571.24,198294000.0
2015-10-26,000300.SH,3614.7,3589.26,204249000.0
2015-10-27,000300.SH,3569.45,3592.88,192056000.0
2015-10-28,000300.SH,3575.8,3524.92,170977000.0
2015-10-29,000300.SH,3539.98,3533.31,127010000.0
2015-10-30,000300.SH,3530.22,3534.08,139142000.0
2015-11-02,000300.SH,3489.23,3475.96,130003000.0
2015-11-03,000300.SH,3484.72,3465.49,101402000.0
2015-11-04,000300.SH,3477.16,3628.54,205424000.0
2015-11-05,000300.SH,3630.78,3705.97,398047000.0
2015-11-06,000300.SH,3698.34,3793.37,298753000.0
2015-11-09,000300.SH,3796.38,3840.35,356805000.0
2015-11-10,000300.SH,3806.67,3833.24,286520000.0
2015-11-11,000300.SH,3828.45,3833.65,232234000.0
2015-11-12,000300.SH,3841.74,3795.32,217538000.0
2015-11-13,000300.SH,3756.2,3746.24,203490000.0
2015-11-16,000300.SH,3682.73,3764.13,161691000.0
2015-11-17,000300.SH,3790.43,3758.39,248533000.0
2015-11-18,000300.SH,3760.46,3715.58,185689000.0
2015-11-19,000300.SH,3725.62,3774.97,154632000.0
2015-11-20,000300.SH,3778.88,3774.38,186952000.0
